Video_Id,Title,Published_date,Views,Likes,Favorite,Comments,Playlist_id,Inserted_date
s_Y3C-ILcNc,லாரன்ஸ் வோங் பிரதமராகவும் தர்மன் சண்முகரத்னம் அதிபராகவும் கலந்துகொள்ளும் முதல் தேசிய தின அணிவகுப்பு,2024-08-09,11,1,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
hkseWauEHdI,அணிவகுப்பில் தேசிய கீத அங்கத்தை வழிநடத்திய ஷபீர்,2024-08-09,2,0,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
GLbgnac4zIk,தேசிய தினத்திற்காக விளையாட்டில் இணைந்த சிறுவர்கள்,2024-08-09,28,1,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
SVTDxvHqX84,"ஆகஸ்ட் 8, 2024 - இன்றைய ஐந்து முக்கியச் செய்திகள்",2024-08-08,174,2,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
1wqF8hgQnjU,செப்டம்பர் 10ஆம் தேதி முதல் தீமிதித் திருவிழாவுக்கான பதிவு,2024-08-08,126,5,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
etKGXzgLIZk,நினைவுகளைத் தாங்கி நிற்கும் ‘லாவ் பா சாட்’,2024-08-08,25,0,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
XepmC78YW8Y,உற்சாகத்துடன் தயாராகும் புதிய ஆசிரியர்கள்,2024-08-08,153,0,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
Q1R3M3fZfKM,இவ்வாண்டு தேசிய தினக் கொண்டாட்டங்களைப் பற்றி நீங்கள் தெரிந்துகொள்ள வேண்டிய முக்கியத் தகவல்கள்,2024-08-08,43,2,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
fOWfIn6BfPY,உமறுப்புலவர் தமிழ்மொழி நிலையத்தில் நடந்தேறிய தமிழ்த் திருவிழா,2024-08-08,589,2,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
sUcqGg3T6KI,"ஆகஸ்ட் 7, 2024 - இன்றைய ஐந்து முக்கியச் செய்திகள்",2024-08-07,2339,2,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
rSHhtaHefS8,சிங்கப்பூரில் அடுத்த ஆண்டு நான்கு நீண்ட வாரயிறுதி விடுமுறைகள்,2024-08-07,528,7,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
BIafMgksLS8,ஒலிம்பிக்கில் தகுதி நீக்கம் செய்யப்பட்ட இந்திய வீராங்கனை,2024-08-07,525,9,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
zRZIDrrqZ0w,"ஆகஸ்ட் 6, 2024 - இன்றைய ஐந்து முக்கியச் செய்திகள்",2024-08-06,482,2,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
OjBij9wG8Sw,“சுய கட்டுப்பாட்டுடன்” நடந்துகொள்வதற்காக பங்களாதேஷ் ராணுவத்துக்கு அமெரிக்கா பாராட்டு,2024-08-06,88,1,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
q3oepPoqstE,தீமிதித் திருவிழாவை தொடக்கிவைத்த கொடியேற்ற விழா,2024-08-06,809,5,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
