Video_Id,Title,Published_date,Views,Likes,Favorite,Comments
0pUBI-i_nig,Bekalan bantuan kemanusiaan dari S’pura kini menuju Gaza: Humanity Matters,2023-11-16,63,3,0,0
6_4BQbFm3xc,"Jauh di mata, dekat di hati... masyarakat S'pura di Saudi terus dekat dengan tanah air.",2023-11-15,640,7,0,1
IrEHzcQkgcw,Kaki Makan: Kudapan Deepavali pengukuh ikatan | Wow! pelbagai jenis manisan kami cuba!,2023-11-11,111,0,0,0
3Z11HYoxQtk,Kena bilis di tempat kerja tapi takut kena 'mark' kalau beritahu HR....,2023-11-10,23,1,0,0
Xoq5-2a4pZE,Anugerah Jauhari 2023,2023-11-08,68,1,0,0
SKCbmTGzifo,All Stars Gegar Vaganza | Hady dan Aliff serap semangat Raja Gelek,2023-11-07,2734,70,0,0
WlV50w5DhfI,"Office Tour Berita Harian, transformasi yang buahkan hasil memberangsangkan",2023-11-07,65,2,0,0
tWfe_viva6Q,All Stars Gegar Vaganza Minggu 7 | Jaclyn Victor terlalu bagus la!,2023-11-06,580,3,0,0
cNwH8QGAufA,"Beranikan diri jadi responder masyarakat, timba kemahiran pertolongan kecemasan",2023-11-06,11,0,0,0
b2RR9z8ce_Q,Masih kuat semangat walau dijangka hidup dua minggu lagi,2023-11-05,2031,23,0,4
0btGaCd7ja4,Kaki Makan: Bistro Eminami Halal Vietnam,2023-11-04,111,1,0,0
ksXZ0KBU4IA,Kaki Makan: Pham Quyen,2023-11-04,49,0,0,0
wWXosdVJ9Jo,Jauhari Harapan Berita Harian 2023,2023-11-03,18,1,0,0
aLY1s6THPHg,Jauhari Berita Harian 2023,2023-11-03,20,0,0,0
vGe6uzSbBzM,"Warga asing, mangsa cedera parah mula dibawa ke Mesir dari Gaza",2023-11-02,72,0,0,0
0MZxXs9LCyY,Cabaran besar bawa bantuan rentas sempadan Rafah masuk ke Gaza: Palang Merah S’pura,2023-11-02,72,0,0,0
uoTzO9D2HK0,"#NoTapis Umrah DIY: Perlu pertimbangan teliti, pelbagai manfaat tapi bukan untuk semua",2023-11-01,148,1,0,0
GMEf482UcUg,Keberanian tebar sayap ke Qatar buahkan hasil bagi syarikat S’pura,2023-10-31,49,0,0,0
kJNeyfe-IxY,Hady Mirza dapat pujian daripada juri?,2023-10-31,4432,89,0,0
bla2ZaZo5-4,All Stars Gegar Vaganza Minggu 6 | Hady Mirza macam artis korea?!,2023-10-31,3210,53,0,0
T-TaFM6JTpA,Hiburan ‘ada kelas’ Sheila Majid di konsert Sheila Majid Big Band Live In Singapore 2023,2023-10-30,185,2,0,0
qWvxwsBU8o0,"Sembang bersama Ayai Illusi | Ayai alami jangkitan paru-paru, punca nafas tercungap",2023-10-30,123,1,0,0
OeCThmMbgsM,Apa hal Bos Susu menggigil-gigil marah sampai media bahasa Cina pun buat liputan?,2023-10-25,388,2,0,0
niyj-HEh9BI,All Stars Gegar Vaganza Minggu 5 | Ameerah nangis ke tak akhirnya?,2023-10-24,293,0,0,0
